x,y,component
27,9,-60.60893046293753
27,10,-58.704650251140414
27,11,-56.64568639507409
27,12,-54.467945669470836
27,13,-52.206019069666034
27,14,-49.89223533125132
27,15,-47.55596974554563
27,16,-45.22320215938415
27,17,-42.91630019680363
27,18,-40.653992510197625
27,19,-38.4514917198395
27,20,-36.32072645769153
27,21,-34.2706451667277
27,22,-32.3075596330568
27,23,-30.43550247601738
27,24,-28.656579118155914
27,25,-26.971300528588866
27,26,-25.378887963281954
27,27,-23.877544894860648
27,28,-22.464694348027365
27,29,-21.1371820305403
27,30,-19.89144710913406
27,31,-18.723663370004285
27,32,-17.62985396194884
27,33,-16.605983066889248
27,34,-15.64802777598376
27,35,-14.75203324730082
27,36,-13.914153941207887
27,37,-13.130683414127562
27,38,-12.398074828915107
27,39,-11.712954029525955
28,0,-58.58777696855948
28,1,-59.1360632320302
28,2,-59.419923779611445
28,3,-59.43289726691579
28,4,-59.17465305654066
28,5,-58.65101049068958
28,6,-57.873635719599875
28,7,-56.859444176006605
28,8,-55.62976282634603
28,9,-54.20932481758543
28,10,-52.62517804028027
28,11,-50.9055881746327
28,12,-49.07900732396561
28,13,-47.1731638494505
28,14,-45.21431047145921
28,15,-43.22664893817847
28,16,-41.231932838370206
28,17,-39.249236894695784
28,18,-37.294871927883264
28,19,-35.38241954849855
28,20,-33.52285895463898
28,21,-31.724759184270045
28,22,-29.994512926406667
28,23,-28.336591748215053
28,24,-26.75380670802957
28,25,-25.247562335468498
28,26,-23.81809557449361
28,27,-22.464694348027365
28,28,-21.18589286300216
28,29,-19.97964265269992
28,30,-18.843459711230548
28,31,-17.774548995307693
28,32,-16.76990813812205
28,33,-15.826412521195023
28,34,-14.940883954613392
28,35,-14.110145183783356
28,36,-13.331062319276207
28,37,-12.600577111692024
28,38,-11.915730792325556
28,39,-11.273680991489064
29,0,-52.307919783580125
29,1,-52.76144935431343
29,2,-52.99599660297941
29,3,-53.00661147937139
29,4,-52.79304382998939
29,5,-52.3597568960218
29,6,-51.715711526817124
29,7,-50.87393967926453
29,8,-49.850943152171666
29,9,-48.66596621017018
29,10,-47.34019744712425
29,11,-45.89595662593791
29,12,-44.355916992870746
29,13,-42.7424041131245
29,14,-41.07680039655817
29,15,-39.37907197263155
29,16,-37.6674229457911
29,17,-35.958072378045756
29,18,-34.26514216593599
29,19,-32.6006394166235
29,20,-30.974514755512025
29,21,-29.394777780411307
29,22,-27.86765209225302
29,23,-26.397754463780334
29,24,-24.98828530672635
29,25,-23.641220313299616
29,26,-22.357495731339483
29,27,-21.1371820305403
29,28,-19.97964265269992
29,29,-18.883676091928105
29,30,-17.84764073915878
29,31,-16.869562789582464
29,32,-15.947228102676553
29,33,-15.07825927546398
29,34,-14.26017939049424
29,35,-13.490463974869433
29,36,-12.76658269231809
29,37,-12.086032216476857
29,38,-11.446361623098701
29,39,-10.845191508977754
30,0,-46.89093431226196
30,1,-47.26865394490399
30,2,-47.46380331272724
30,3,-47.472553470978255
30,4,-47.29471320022778
30,5,-46.93373858393564
30,6,-46.39657753528033
30,7,-45.69336173225843
30,8,-44.83697017760512
30,9,-43.84249741799176
30,10,-42.72666445003288
30,11,-41.50721124452423
30,12,-40.202306973986154
30,13,-38.83000824270694
30,14,-37.407787974833994
30,15,-35.952149251975186
30,16,-34.47833031725003
30,17,-33.000099939580195
30,18,-31.529636823474437
30,19,-30.07748293136713
30,20,-28.652558399041045
30,21,-27.262224950032568
30,22,-25.912385045917134
30,23,-24.607605116481945
30,24,-23.35125278990615
30,25,-22.145639830779068
30,26,-20.99216429689159
30,27,-19.89144710913406
30,28,-18.843459711230548
30,29,-17.84764073915878
30,30,-16.903000617165358
30,31,-16.008213762442146
30,32,-15.161698640157184
30,33,-14.361686296617085
30,34,-13.606278243853229
30,35,-12.893494704897146
30,36,-12.22131428287983
30,37,-11.587706112007679
30,38,-10.990655503221786
30,39,-10.42818402666341
31,0,-42.19411571165295
31,1,-42.5107050892069
31,2,-42.674125635902016
31,3,-42.68138891801125
31,4,-42.53234735868491
31,5,-42.22970111672336
31,6,-41.77888478901408
31,7,-41.18784241103064
31,8,-40.46670728698964
31,9,-39.62740936062298
31,10,-38.68323654798138
31,11,-37.64837748122895
31,12,-36.53747161847692
31,13,-35.36518912692545
31,14,-34.14585800486541
31,15,-32.89315029636172
31,16,-31.619833643409272
31,17,-30.337589352552282
31,18,-29.056893987850138
31,19,-27.786958418920182
31,20,-26.535716272026477
31,21,-25.309852755304302
31,22,-24.11486468368116
31,23,-22.955143009690882
31,24,-21.834070067989625
31,25,-20.75412488087359
31,26,-19.716991100507947
31,27,-18.723663370004285
31,28,-17.774548995307693
31,29,-16.869562789582464
31,30,-16.008213762442146
31,31,-15.189682976750985
31,32,-14.412892396361991
31,33,-13.676564916375996
31,34,-12.979276023686685
31,35,-12.319497700532796
31,36,-11.695635277080017
31,37,-11.10605797807607
31,38,-10.549123908128594
31,39,-10.02320019224249
32,0,-38.10206855924301
32,1,-38.36900193901596
32,2,-38.50667875917471
32,3,-38.51274698494829
32,4,-38.387091698958415
32,5,-38.13184009794647
32,6,-37.75127804906241
32,7,-37.251684044308085
32,8,-36.64109198007253
32,9,-35.92899856003615
32,10,-35.12603387592236
32,11,-34.24361469592458
32,12,-33.293599255905306
32,13,-32.28796017427431
32,14,-31.23848890316166
32,15,-30.156541349213864
32,16,-29.05283039530385
32,17,-27.93726740698958
32,18,-26.81885168774254
32,19,-25.705604413245858
32,20,-24.60454187972809
32,21,-23.52168191137245
32,22,-22.462076895507035
32,23,-21.429867027322935
32,24,-20.42834781420374
32,25,-19.460046586192128
32,26,-18.526803573971687
32,27,-17.62985396194884
32,28,-16.76990813812205
32,29,-15.947228102676553
32,30,-15.161698640157184
32,31,-14.412892396361991
32,32,-13.700128431690603
32,33,-13.02252415519982
32,34,-12.37904078953695
32,35,-11.76852268940564
32,36,-11.18973094860899
32,37,-10.641371795548748
32,38,-10.122120305509926
32,39,-9.630639959685423
33,0,-34.520819811838564
33,1,-34.74714009989868
33,2,-34.86378337985289
33,3,-34.86888393916437
33,4,-34.762351541460546
33,5,-34.54587509480446
33,6,-34.222860582032254
33,7,-33.79830732440576
33,8,-33.27863057001243
33,9,-32.67144151902166
33,10,-31.985297948519715
33,11,-31.229439454919415
33,12,-30.41352101729914
33,13,-29.547357257258657
33,14,-28.64068768056441
33,15,-27.70297063083859
33,16,-26.74321096506099
33,17,-25.769823837797734
33,18,-24.790534658067813
33,19,-23.812313390167105
33,20,-22.84133996789931
33,21,-21.88299668087523
33,22,-20.941882927443814
33,23,-20.02184763880219
33,24,-19.12603487723925
33,25,-18.2569385117634
33,26,-17.416462397683855
33,27,-16.605983066889248
33,28,-15.826412521195023
33,29,-15.07825927546398
33,30,-14.361686296617085
33,31,-13.676564916375996
33,32,-13.02252415519982
33,33,-12.398995183952668
33,34,-11.805250873812355
33,35,-11.240440551470213
33,36,-10.703620194394327
33,37,-10.19377837850752
33,38,-9.709858336217698
33,39,-9.250776503621118
34,0,-31.373333794384376
34,1,-31.566222897957783
34,2,-31.66556865124451
34,3,-31.66988020525513
34,4,-31.579086147091616
34,5,-31.3945372198295
34,6,-31.118959719951725
34,7,-30.75636244341813
34,8,-30.311902830976763
34,9,-29.79172021086187
34,10,-29.202745567081994
34,11,-28.552497980619854
34,12,-27.84887780270047
34,13,-27.099965814490755
34,14,-26.31383626196127
34,15,-25.498389920776276
34,16,-24.6612114443156
34,17,-23.80945336130765
34,18,-22.94974736597946
34,19,-22.088142086451935
34,20,-21.23006538353103
34,21,-20.380308437702823
34,22,-19.54302840957374
34,23,-18.721766267804526
34,24,-17.919476415409353
34,25,-17.138564952402653
34,26,-16.38093373461306
34,27,-15.64802777598376
34,28,-14.940883954613392
34,29,-14.26017939049424
34,30,-13.606278243853229
34,31,-12.979276023686685
34,32,-12.37904078953695
34,33,-11.805250873812355
34,34,-11.257428948571768
34,35,-10.734972413550501
34,36,-10.237180196463987
34,37,-9.763276137999917
34,38,-9.312429188115239
34,39,-8.88377067266274
35,0,-28.596065694061068
35,1,-28.76126892092629
35,2,-28.846302316685744
35,3,-28.849966335808183
35,4,-28.772204045543166
35,5,-28.614103161504943
35,6,-28.37786075042403
35,7,-28.066712646369293
35,8,-27.68483161747876
35,9,-27.23719995270959
35,10,-26.72946328403116
35,11,-26.16777304959523
35,12,-25.558625031752626
35,13,-24.908700922432956
35,14,-24.224718974706235
35,15,-23.5132986185315
35,16,-22.78084258535861
35,17,-22.033438727676135
35,18,-21.276782443143006
35,19,-20.516119498407935
35,20,-19.756208144780075
35,21,-19.001298747697845
35,22,-18.255128711581982
35,23,-17.520930250379852
35,24,-16.80144849969915
35,25,-16.098967551153155
35,26,-15.415342174959651
35,27,-14.75203324730082
35,28,-14.110145183783356
35,29,-13.490463974869433
35,30,-12.893494704897146
35,31,-12.319497700532796
35,32,-11.76852268940564
35,33,-11.240440551470213
35,34,-10.734972413550501
35,35,-10.251715972908027
35,36,-9.790169041287939
35,37,-9.349750380249422
35,38,-8.929817955509156
35,39,-8.529684776334669
36,0,-26.13629149071876
36,1,-26.278436274239667
36,2,-26.35155905053533
36,3,-26.35468837696334
36,4,-26.28777855019409
36,5,-26.151711143085063
36,6,-25.94826804904694
36,7,-25.680077506998757
36,8,-25.35053601945939
36,9,-24.96371027174102
36,10,-24.524224022103052
36,11,-24.037135409942483
36,12,-23.507810212148577
36,13,-22.941796296196323
36,14,-22.34470393346448
36,15,-21.72209582949526
36,16,-21.079389790234476
36,17,-20.421775963311006
36,18,-19.754149648687317
36,19,-19.081059824191495
36,20,-18.406672819592547
36,21,-17.734750019627707
36,22,-17.068638086182517
36,23,-16.411269953517365
36,24,-15.765174749399135
36,25,-15.132494805123258
36,26,-14.515008012573139
36,27,-13.914153941207887
36,28,-13.331062319276207
36,29,-12.76658269231809
36,30,-12.22131428287983
36,31,-11.695635277080017
36,32,-11.18973094860899
36,33,-10.703620194394327
36,34,-10.237180196463987
36,35,-9.790169041287939
36,36,-9.362246222188782
36,37,-8.952991024230972
36,38,-8.561918846741357
36,39,-8.188495558878836
37,0,-23.950023508601646
37,1,-24.072860858830126
37,2,-24.136017934827702
37,3,-24.13870319601772
37,4,-24.08087971407217
37,5,-23.963266342892787
37,6,-23.78731697272954
37,7,-23.555178938932954
37,8,-23.269632706096875
37,9,-22.934015830588695
37,10,-22.552134855736586
37,11,-22.12816917648057
37,12,-21.666571014041025
37,13,-21.171965482529476
37,14,-20.649054346852488
37,15,-20.10252651850827
37,16,-19.536977674425078
37,17,-18.956840675624488
37,18,-18.36632776311074
37,19,-17.769384863605264
37,20,-17.169657780514328
37,21,-16.570469595614572
37,22,-15.974808271977956
37,23,-15.38532322611759
37,24,-14.804329517139363
37,25,-14.233818267854245
37,26,-13.675471969906809
37,27,-13.130683414127562
37,28,-12.600577111692024
37,29,-12.086032216476857
37,30,-11.587706112007679
37,31,-11.10605797807607
37,32,-10.641371795548748
37,33,-10.19377837850752
37,34,-9.763276137999917
37,35,-9.349750380249422
37,36,-8.952991024230972
37,37,-8.572708689932384
37,38,-8.208549160783992
37,39,-7.860106263320952
38,0,-22.00037134521274
38,1,-22.10696026364584
38,2,-22.161736294559063
38,3,-22.16405074906172
38,4,-22.11387360526397
38,5,-22.011794405931195
38,6,-21.859006174240033
38,7,-21.65727313252066
38,8,-21.40888378174422
38,9,-21.11659155552169
38,10,-20.7835457568823
38,11,-20.41321579117985
38,12,-20.009311814826038
38,13,-19.57570483595496
38,14,-19.11634905380066
38,15,-18.635208844009377
38,16,-18.136192329120313
38,17,-17.62309296022146
38,18,-17.099540017573556
38,19,-16.568958448875108
38,20,-16.034538029739764
38,21,-15.499211468920384
38,22,-14.965640799333391
38,23,-14.436211196057744
38,24,-13.913031239375904
38,25,-13.39793858563207
38,26,-12.892510009809838
38,27,-12.398074828915107
38,28,-11.915730792325556
38,29,-11.446361623098701
38,30,-10.990655503221786
38,31,-10.549123908128594
38,32,-10.122120305509926
38,33,-9.709858336217698
38,34,-9.312429188115239
38,35,-8.929817955509156
38,36,-8.561918846741357
38,37,-8.208549160783992
38,38,-7.869462000934798
38,39,-7.544357730948961
39,0,-20.25624418301055
39,1,-20.349093606088633
39,2,-20.396787196248503
39,3,-20.39879042526206
39,4,-20.355078743983523
39,5,-20.266138276165183
39,6,-20.132953261523166
39,7,-19.956980828396915
39,8,-19.740114249726634
39,9,-19.48463632737688
39,10,-19.193164927159536
39,11,-18.868592929571978
39,12,-18.514024961198675
39,13,-18.132713233313684
39,14,-17.72799465273478
39,15,-17.303231108938107
39,16,-16.861754509402328
39,17,-16.406817762388005
39,18,-15.941552521866374
39,19,-15.468934138442838
39,20,-14.991753923010565
39,21,-14.512598540690423
39,22,-14.033836119560307
39,23,-13.55760848452244
39,24,-13.085828809694615
39,25,-12.620183917879572
39,26,-12.162140435704694
39,27,-11.712954029525955
39,28,-11.273680991489064
39,29,-10.845191508977754
39,30,-10.42818402666341
39,31,-10.02320019224249
39,32,-9.630639959685423
39,33,-9.250776503621118
39,34,-8.88377067266274
39,35,-8.529684776334669
39,36,-8.188495558878836
39,37,-7.860106263320952
39,38,-7.544357730948961
39,39,-7.241038515306843
